327582	getRemoteServiceReferences Remote Service References osgi implementation Service Remote idFilter Filter References parameter String incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status exception Status org core eclipse ecf Exception Throwable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Composite Container discovery Type ecf Description eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ServiceResource Service Resource hostnames Service discovery ecf resource hostname Resource broken	Bug Discovery resilient broken hostnames
329054	Discovery Container provider IConnect discovery IConnectContext IConnect Context connect providers containers Composite	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Container DiscoveryContainers Discovery Containers Composite Containers CompositeDiscoveryContainer Composite Discovery Container Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container Zookeeper ZooDiscovery Zoo Discovery Container Slow Activator Bundle Bug	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	endpoint osgi devsosgi remoteserviceadmin Service Container service ServiceProperties Service Properties services RemoteServiceContainer Remote Service Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ServiceATracker Service ATracker service Endpoint ServiceA Service EndpointDescription Endpoint Description ecf remoteserviceadmin proxy Bug	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	restCall rest Call invokeRemoteCall invoke Remote Call Service IRemoteService IRemote Service Parameters status Call containerFactory container Factory service adapter	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property properties RSA Property private Bug TCK foo intent exports	Bug TCK RSA exports private properties
342782	TCK RSA set event Bug properties bundle events symbolicname incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace tracing pluginId plugin eclipse org ecf plugin printStackTrace print Stack Trace Throwable ECF	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager Bug unpublish Zoodiscovery Harmless thrown annoying unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	server client Discovery zookeeper percentage ZooDiscovery Zoo Discovery Zoo Bug high CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client Client remoteservice Rest content IRemoteCallable IRemote Callable IRemoteCall IRemote Call ecf Service	Bug RestClientService ignores content encoding Rest Client Service
414448	import importService import Service RemoteServiceAdmin Remote Service Admin Service imported Bug configs error registration matching	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Impl OSGi impl Topics ethz NPE String topics Bug ChannelEndpointImpl Channel Endpoint Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE service NPE Message Impl Bug ethz Remote impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery Listener Discovery listener org type Service ecf eclipse IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zookeeper Zoodiscovery client ClientCnxn Client Cnxn reconnects Connect reopened Bug connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests ClassCastException Class Cast Exception JUnit test problem server exception service caller Class	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery ecf discovery eclipse org Bug distribution remove dev provider	Bug remove code org eclipse ecf provider discovery
