327379	IRemoteCallFactory IRemote Call Factory Factory Remote RemoteCallFactory Remote Call Factory factory RestCallFactory Rest Call Factory remoteservice Call IRemote RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	Service getRemoteServiceReferences Remote Service References implementation osgi Remote parameter incorrect idFilter Filter unnecessary String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable Status status core ecf org STATUS exception null	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery Instance CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider Instantiator locator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery Address resource hostname broken ServiceResource Service Resource URI Resource	Bug Discovery resilient broken hostnames
329054	Container Discovery provider discovery Composite containers connect IConnect CompositeDiscoveryContainer Composite Discovery Container ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Container Composite Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container startup Zookeeper ZooDiscovery Zoo Discovery Slow Bundle BundleActivator Bundle Activator Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi services osgi container remoteserviceadmin Container ecf	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service osgi Endpoint ServiceATracker Service ATracker Context EndpointDescription Endpoint Description props remoteserviceadmin	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service Call restCall rest Call status IRemote remote request HTTP Factory	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private RSA properties someProperty Property intent Property exported TCK foo service	Bug TCK RSA exports private properties
342782	TCK RSA bundle properties Bug set event events incorrectly version	Bug TCK RSA events set properties incorrectly
369023	Trace org tracing core pluginId plugin NullPointerException Null Pointer Exception eclipse printStackTrace print Stack Trace Pointer java	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service needed annoying Harmless Zoodiscovery watchmanager Bug thrown unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	Discovery server client percentage processes Zoo zookeeper CPU high ZooDiscovery Zoo Discovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client Service Client org encoding Http remoteservice IRemoteCallable IRemote Callable	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service configs import Admin error matching Remote registration	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE ChannelEndpointImpl Channel Endpoint Impl OSGi Channel updateTopics update Topics String Endpoint Impl update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service Message NPE Channel handleMessage handle Message iks osgi ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery Service org listener Discovery Listener DiscoveryServiceListener Discovery Service Listener eclipse register ecf	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zookeeper Zoodiscovery client application services server disconnect Thread connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem JUnit ClassCastException Class Cast Exception Class remote failing Exception server	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery eclipse org discovery ecf removing provider remove CompositeDiscoveryContainer Composite Discovery Container removed	Bug remove code org eclipse ecf provider discovery
