328772	Serializable SerializableStatus Serializable Status Throwable Status org core eclipse exception ecf STATUS	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator ecf eclipse Type provider	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ServiceResource Service Resource Service ecf resource discovery hostname Inet hostnames NPE	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery ecf CDC IConnect IConnectContext IConnect Context ContainerConnectException Container Connect Exception CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container Discovery CompositeDiscoveryContainer Composite Discovery Container Containers Composite DiscoveryContainers Discovery Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery Zookeeper startup Bundle Container BundleActivator Bundle Activator Activator ZooDiscoveryContainer Zoo Discovery Container start	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	devsosgi osgi endpoint Service Container service ecf ERROR objectClass object Class container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ecf service Endpoint ServiceA Service propsA props osgi property props ServiceATracker Service ATracker	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	adapter containerFactory container Factory Service service Call registration IRemote Factory status restCall rest Call	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property foo properties intent Property exports private service TCK	Bug TCK RSA exports private properties
342782	RSA TCK bundle properties symbolicname events set event Bug version	Bug TCK RSA events set properties incorrectly
369023	pluginId plugin Trace org option git method plugin util Pointer Throwable	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager Bug Zoodiscovery needed unpublish Harmless annoying unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client percentage Discovery server zookeeper Zoo CPU ZooDiscovery Zoo Discovery zoodiscovery high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client Client remoteservice Service org content UTF ecf eclipse	Bug RestClientService ignores content encoding Rest Client Service
414448	error import importService import Service Service configs registration RemoteServiceAdmin Remote Service Admin Admin Remote matching	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Impl NPE OSGi Channel ethz String Endpoint Topics impl ChannelEndpointImpl Channel Endpoint Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE service Message NPE Impl handleMessage handle Message Channel impl ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener listener Service register org discovery type IService ecf Discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client case application event Thread ClientCnxn Client Cnxn Exception	Bug Discovery Zookeeper Auto reconnect issue
471541	problem tests service JVM server test unit forums JUnit trace	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery org ecf distribution eclipse dev Composite discovery release Bug	Bug remove code org eclipse ecf provider discovery
