328999	Discovery broken Service resilient discovery Listener eclipse Inet Bug getInetAddress Inet Address	Bug Discovery resilient broken hostnames
329054	Container discovery Discovery Composite org nested connect provider ecf eclipse	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Composite DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Container Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscovery Zoo Discovery Bundle Slow ZooDiscoveryContainer Zoo Discovery Container Zookeeper asynchronously startup Bug	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi remoteserviceadmin endpoint service devsosgi container ecf topology Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	remoteserviceadmin Service classloader service osgi Provider proxy ServiceA Service ecf property	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	HTTP RestClientService Rest Client Service status invokeRemoteCall invoke Remote Call method remote IRemote service throws Service	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private TCK properties service Bug exports exported intent someProperty Property	Bug TCK RSA exports private properties
342782	TCK set RSA properties bundle events Bug event spec symbolicname	Bug TCK RSA events set properties incorrectly
369023	tracing NullPointerException Null Pointer Exception org eclipse ecf Trace throwable catching git String	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE Zoodiscovery annoying unpublishing service unpublish Bug needed watchmanager thrown	Bug Zoodiscovery NPE unpublishing service
406064	high Discovery percentage client ZooDiscovery Zoo Discovery Zoo Bug zookeeper server processes	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content encoding ignores client IRemoteCallable IRemote Callable Rest remoteservice IRemote Bug	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service matching RemoteServiceAdmin Remote Service Admin configs Service robust find Remote Bug error	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE String OSGi iks osgi Channel impl ethz Impl update	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE Message NPE ethz iks service osgi MODIFIED Bug	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org eclipse ecf internal register listener IService discovery Listener DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper Zoodiscovery connection client connect reconnect remote Discovery services server	Bug Discovery Zookeeper Auto reconnect issue
471541	tests ClassCastException Class Cast Exception remote JUnit problem service attachment Class failing JVM	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org remove code empty existing Discovery replace removing Bug	Bug remove code org eclipse ecf provider discovery
