327582	implementation getRemoteServiceReferences Remote Service References Service Remote idFilter Filter osgi parameter String simplified Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Status Throwable core org STATUS exception null eclipse	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider eclipse locator Type	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery discovery hostname Service hostnames ServiceResource Service Resource broken Inet Address Listener	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery discovery connect IConnect Composite ecf CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Discovery DiscoveryContainers Discovery Containers Composite Container Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container Bundle startup Container Zookeeper BundleActivator Bundle Activator Activator Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi ERROR Container container osgi services configs	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Endpoint EndpointDescription Endpoint Description services osgi propsA props ServiceATracker Service ATracker property	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote Call status restCall rest Call Factory Remote remote request	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties private someProperty Property foo Property service intent exported TCK	Bug TCK RSA exports private properties
342782	TCK properties set RSA bundle event events symbolicname version spec	Bug TCK RSA events set properties incorrectly
369023	Trace org method eclipse ecf printStackTrace print Stack Trace pluginId plugin framework git option	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE needed annoying watchmanager Harmless Zoodiscovery unpublish thrown Bug	Bug Zoodiscovery NPE unpublishing service
406064	client server percentage CPU Discovery Zoo high zoodiscovery processes zookeeper	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service Service client content Client org Type Http remoteservice encoding	Bug RestClientService ignores content encoding Rest Client Service
414448	Service importService import Service configs error RemoteServiceAdmin Remote Service Admin import Remote Admin matching imported	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel NPE Impl Topics Endpoint ethz String impl update OSGi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service OSGi Message MODIFIED NPE handleMessage handle Message ethz Channel instance	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Listener listener org discovery register Discovery eclipse ecf type	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client services case application disconnect closes event	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem ClassCastException Class Cast Exception test JUnit JVM remote trace unit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org Discovery ecf distribution eclipse dev discovery Composite provider services	Bug remove code org eclipse ecf provider discovery
