327582	getRemoteServiceReferences Remote Service References osgi implementation Service idFilter Filter Remote References parameter simplify Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable org core eclipse ecf checkForSerializable check Serializable Status exception Throwable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Composite CompositeDiscoveryContainer Composite Discovery Container Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator discovery Type ecf Description eclipse	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery hostname Service hostnames Address discovery ServiceResource Service Resource broken NPE org	Bug Discovery resilient broken hostnames
329054	Discovery Composite Container provider CompositeDiscoveryContainer Composite Discovery Container discovery IConnect IConnectContext IConnect Context ecf providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Composite Container Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container Container Slow Activator ZooDiscovery Zoo Discovery Bundle Bug startup	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service remoteserviceadmin endpoint service osgi topology services endpointDescription endpoint Description RemoteServiceContainer Remote Service Container Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ServiceATracker Service ATracker remoteserviceadmin EndpointDescription Endpoint Description Bug classloader Endpoint propsA props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	IRemote status restCall rest Call HTTP Service invokeRemoteCall invoke Remote Call service RestClientService Rest Client Service Factory IRemoteService IRemote Service	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties someProperty Property Property private Bug TCK foo intent exports	Bug TCK RSA exports private properties
342782	TCK RSA properties event events set Bug bundle symbolicname spec	Bug TCK RSA events set properties incorrectly
369023	Trace org eclipse NullPointerException Null Pointer Exception java Bug util method plugin shouldTrace Trace	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE watchmanager unpublish Bug Zoodiscovery annoying thrown unpublishing Harmless	Bug Zoodiscovery NPE unpublishing service
406064	client server Discovery percentage Bug Zoo high CPU ZooDiscovery Zoo Discovery zookeeper	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service remoteservice content encoding UTF client Client Rest ecf Service	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service import Service RemoteServiceAdmin Remote Service Admin Bug configs error registration matching Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Endpoint ChannelEndpointImpl Channel Endpoint Impl ethz OSGi String updateTopics update Topics Bug Channel Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service NPE Message Bug ethz Remote Channel handleMessage handle Message	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery org ecf eclipse Discovery Listener register DiscoveryServiceListener Discovery Service Listener Service listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper Zoodiscovery connection client Bug Discovery case connect ClientCnxn Client Cnxn reconnect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests ClassCastException Class Cast Exception JUnit test problem exception service Class Exception JVM	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf Discovery org eclipse discovery Bug distribution remove Composite CompositeDiscoveryContainer Composite Discovery Container	Bug remove code org eclipse ecf provider discovery
