329054	Container provider connect handle containers Discovery Connect providers discovery ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container Containers CompositeDiscoveryContainer Composite Discovery Container Composite Discovery DiscoveryContainers Discovery Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo start Slow Bundle startup ZooDiscoveryContainer Zoo Discovery Container Zookeeper BundleActivator Bundle Activator Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service osgi endpoint devsosgi object services Container ecf ERROR	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service property class Consumer ecf services osgi propsA props props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service status Call adapter Factory Container IRemote Type request	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties foo someProperty Property service Property intent TCK exports	Bug TCK RSA exports private properties
342782	set bundle TCK RSA event properties events symbolicname version Bug	Bug TCK RSA events set properties incorrectly
369023	Trace option org Pointer core git pluginId plugin Null catching identity	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service needed NPE annoying watchmanager Zoodiscovery Harmless unpublish Bug thrown	Bug Zoodiscovery NPE unpublishing service
406064	percentage client server high Discovery Zoo CPU zookeeper cpu zoodiscovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service content creation RestClientService Rest Client Service Type client user Request remoteservice org	Bug RestClientService ignores content encoding Rest Client Service
414448	import error Service importService import Service configs find Remote valid publish RemoteServiceAdmin Remote Service Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE OSGi String Topics Channel Impl update ethz Endpoint iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message OSGi service NPE instance Channel handleMessage handle Message iks osgi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Listener listener register discovery Discovery org eclipse ecf IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection case client application event services Zookeeper Zoodiscovery connect Exception	Bug Discovery Zookeeper Auto reconnect issue
471541	problem tests service test unit server remote JVM failing forums	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery distribution org ecf existing removed discovery provider eclipse services	Bug remove code org eclipse ecf provider discovery
