328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container Type ecf discovery Description eclipse provider	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery hostnames ServiceResource Service Resource hostname Service NPE org Resource resource Inet	Bug Discovery resilient broken hostnames
329054	provider Container CompositeDiscoveryContainer Composite Discovery Container containers ecf CDC ContainerConnectException Container Connect Exception Exceptions providers ContainerConnectExceptions Container Connect Exceptions	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container CompositeDiscoveryContainer Composite Discovery Container Containers Composite Discovery DiscoveryContainers Discovery Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo Container Activator startup BundleActivator Bundle Activator Bundle start Zookeeper Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi devsosgi DEBUG service Container ERROR topology Ljava object	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service propsA props props property class osgi ecf ServiceA Service EndpointDescription Endpoint Description	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Factory Service service status IRemote Parameters class Client Container adapter	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA foo someProperty Property intent properties Property exports Bug service	Bug TCK RSA exports private properties
342782	RSA TCK bundle properties events symbolicname version Bug event spec	Bug TCK RSA events set properties incorrectly
369023	Trace util method plugin org pluginId plugin option git framework System	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service watchmanager NPE Bug Zoodiscovery	Bug Zoodiscovery NPE unpublishing service
406064	client percentage Discovery CPU Zoo server zookeeper zoodiscovery Bug cpu	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service Client RestClientService Rest Client Service org UTF ecf remoteservice content eclipse Type	Bug RestClientService ignores content encoding Rest Client Service
414448	error registration Service importService import Service configs import Admin RemoteServiceAdmin Remote Service Admin Bug Remote	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ethz NPE Impl Channel Endpoint String OSGi Bug impl ChannelEndpointImpl Channel Endpoint Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE Message NPE service Channel Remote handleMessage handle Message instance ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service register Listener org discovery listener ecf type eclipse wildcards	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client case event Thread application Exception Client	Bug Discovery Zookeeper Auto reconnect issue
471541	problem tests service JVM forums test possibility unit exception trace	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	distribution org ecf eclipse Discovery dev Bug release implementations Composite	Bug remove code org eclipse ecf provider discovery
