328998	Composite Container Discovery advertisers eclipse set locator CompositeDiscoveryContainer Composite Discovery Container ecf provider	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery discovery broken Service Inet eclipse Listener resilient getInetAddress Inet Address ecf	Bug Discovery resilient broken hostnames
329054	Container nested discovery handle Connect connect containers provider Discovery Composite	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Composite CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Containers misses instantiation Container Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Bundle asynchronously startup Zookeeper timeout Slow BundleActivator Bundle Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi ecf endpoint service osgi container null remoteserviceadmin ERROR	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service osgi Provider ServiceA Service ecf property propsA props props Consumer	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	remote IRemote service Service status HTTP Call Factory code create	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties TCK service foo someProperty Property intent exported exports	Bug TCK RSA exports private properties
342782	bundle set TCK properties RSA event events symbolicname version Bug	Bug TCK RSA events set properties incorrectly
369023	Trace throwable org tracing ecf catching git String option pluginId plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE Zoodiscovery annoying needed unpublish watchmanager service unpublishing thrown Harmless	Bug Zoodiscovery NPE unpublishing service
406064	high percentage Discovery client Zoo zookeeper ZooDiscovery Zoo Discovery processes zoodiscovery server	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	IRemote RestClientService Rest Client Service encoding content client IRemoteCallable IRemote Callable ignores remoteservice Rest Post	Bug RestClientService ignores content encoding Rest Client Service
414448	matching configs importService import Service error publish Service Remote RemoteServiceAdmin Remote Service Admin robust find	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	String NPE Channel Topics update Impl OSGi osgi impl iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service Message MODIFIED osgi impl iks ChannelEndpointImpl Channel Endpoint Impl ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	listener register org IService Listener eclipse ecf Service internal Discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper Zoodiscovery connect client case connection closes disconnect application remote	Bug Discovery Zookeeper Auto reconnect issue
471541	remote tests problem service failing JVM ClassCastException Class Cast Exception server suite unit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org empty existing Discovery replace removing distribution remove Composite	Bug remove code org eclipse ecf provider discovery
